age,sex,height_cm,start_weight_kg,target_weight_kg,duration_weeks,start_bmi,target_bmi,avg_calorie_intake,avg_calorie_burn,main_exercise
25,Male,174.9,105.9,86.4,44.1,34.6,28.2,2697,622,Gym 3x/week
34,Female,157.3,70.4,60.9,20,28.4,24.6,1516,493,Swimming 2x/week
18,Female,155.3,67.1,54.3,38.5,27.8,22.5,1661,240,Gym 3x/week
54,Female,153,65.5,56,14.9,28,23.9,1417,459,Swimming 2x/week
52,Male,169.6,92.8,82.6,24.2,32.2,28.7,2206,447,Gym 3x/week
37,Female,160.6,69.4,62.8,14.9,26.9,24.4,1565,153,Running 3x/week
48,Male,173.3,94.6,82.3,33,31.5,27.4,2387,318,Swimming 2x/week
63,Male,172,88.7,76.9,37.2,30,26,1920,246,Gym 3x/week
23,Male,163,81.6,67.8,37.5,30.7,25.5,2278,372,Cycling 4x/week
36,Male,169,96.3,79.8,25.7,33.7,28,2429,365,HIIT 3x/week
61,Male,182.8,101.4,95.6,19.8,30.4,28.6,2501,167,Swimming 2x/week
38,Male,166.6,63,59.3,7.8,22.7,21.4,1926,633,Swimming 2x/week
30,Female,165.7,68,55.9,20.2,24.8,20.4,1752,221,Running 3x/week
45,Female,159.1,63.9,51.5,40,25.3,20.3,1672,487,Gym 3x/week
19,Male,177.7,96.6,77.4,60.5,30.6,24.5,2519,303,Gym 3x/week
46,Male,173.8,88.3,77.4,19.6,29.2,25.6,2201,476,HIIT 3x/week
62,Male,184.5,78.1,69,22.2,22.9,20.3,1804,433,HIIT 3x/week
42,Female,153.5,71.1,63.3,20.2,30.2,26.8,1595,547,Running 3x/week
26,Male,172.2,95.4,89,11.7,32.2,30,2688,306,Gym 3x/week
44,Female,166.5,67.2,61.6,18,24.2,22.2,1625,151,Swimming 2x/week
45,Female,155.7,55.3,46.5,25.7,22.8,19.2,1527,301,Cycling 4x/week
32,Male,167.9,75.4,62,47,26.8,22,2106,622,Swimming 2x/week
45,Male,185.8,102.2,84.4,35,29.6,24.4,2482,379,HIIT 3x/week
61,Female,171.1,98.7,88.5,16.3,33.7,30.2,2072,342,Gym 3x/week
32,Female,170.7,73.8,63.9,20.8,25.3,21.9,1608,253,Running 3x/week
27,Male,173.5,100.8,81.9,57.8,33.5,27.2,2750,489,Running 3x/week
32,Male,182.8,92.9,79.5,24.5,27.8,23.8,2371,304,Running 3x/week
22,Male,177.8,90.7,80.4,19.5,28.7,25.4,2379,486,Swimming 2x/week
51,Female,171.5,80.2,74.3,15.5,27.3,25.3,1898,201,Gym 3x/week
61,Male,163.3,90.3,81.6,22.1,33.8,30.6,2094,536,Swimming 2x/week
67,Female,158.5,70.8,63.1,27,28.2,25.1,1648,400,HIIT 3x/week
19,Male,184.3,109.8,90.5,51.4,32.3,26.7,2861,221,Gym 3x/week
67,Female,164.8,81,75.3,11.6,29.8,27.7,1645,649,Running 3x/week
70,Male,170.2,68.7,59.9,15.3,23.7,20.7,1447,625,Gym 3x/week
22,Male,179,95,84.4,33.9,29.7,26.4,2820,281,Running 3x/week
69,Female,157.4,65.6,58,19.8,26.5,23.4,1345,644,Cycling 4x/week
20,Female,159.1,66,53.2,23.4,26.1,21,1501,449,Cycling 4x/week
63,Female,168.7,69.9,59.4,36.3,24.5,20.9,1455,627,Gym 3x/week
37,Male,177.5,83.5,67.3,50.7,26.5,21.4,2161,570,Swimming 2x/week
32,Male,180.8,109.4,93.3,53.8,33.5,28.5,2755,503,Swimming 2x/week
22,Male,174.1,83.8,69.6,22.5,27.6,22.9,2184,438,HIIT 3x/week
38,Female,169.6,79.8,75.2,13.2,27.7,26.2,1742,566,Cycling 4x/week
56,Male,164.4,78.2,68.6,21.4,28.9,25.4,1895,371,Gym 3x/week
65,Female,156.4,73.4,61.9,26.7,30,25.3,1528,496,Gym 3x/week
51,Female,168.4,84.3,71.4,20.9,29.7,25.2,1743,405,Cycling 4x/week
18,Male,171.3,94,80.2,28.4,32,27.3,2564,304,Running 3x/week
21,Female,165.3,73.5,66,24.6,26.9,24.2,1760,173,Cycling 4x/week
28,Male,173,84.1,69.9,39.8,28.1,23.4,2489,248,Cycling 4x/week
26,Female,152,58.7,47.8,35.2,25.4,20.7,1668,491,Cycling 4x/week
58,Female,172.7,67.3,54.4,42.8,22.6,18.2,1419,601,HIIT 3x/week
62,Female,161.9,68.1,62.7,11,26,23.9,1316,425,Cycling 4x/week
42,Female,151.1,54.3,50.1,12.3,23.8,22,1258,166,HIIT 3x/week
50,Female,157.5,71.4,57.3,41.6,28.8,23.1,1571,302,Cycling 4x/week
48,Female,172.5,75.3,62.9,31.8,25.3,21.1,1721,585,Gym 3x/week
20,Male,180.6,87.6,75.3,37.8,26.8,23.1,2421,371,Swimming 2x/week
56,Female,169.5,84.3,79.9,13.3,29.3,27.8,1928,467,Running 3x/week
60,Female,151.2,56.4,53.2,7.4,24.7,23.3,1349,239,Running 3x/week
47,Male,179.7,94.7,83.5,20.4,29.3,25.9,2604,377,Swimming 2x/week
20,Female,168.3,77.8,65.1,40.4,27.5,23,1814,309,HIIT 3x/week
62,Male,177.6,87.5,74.5,37,27.7,23.6,2185,515,Running 3x/week
55,Male,164.1,89.1,77.3,26,33.1,28.7,2148,384,Swimming 2x/week
54,Female,170.6,94.1,89,10.4,32.3,30.6,1938,390,HIIT 3x/week
64,Male,176.9,72.2,59.7,35,23.1,19.1,1879,613,Cycling 4x/week
45,Female,152,74.6,60.7,36.4,32.3,26.3,1754,315,Gym 3x/week
64,Female,156.9,54.8,47.4,17.1,22.3,19.2,1102,226,Swimming 2x/week
28,Male,177.3,83.4,71.9,25,26.5,22.9,2453,391,Cycling 4x/week
20,Female,154.7,81.5,69.7,20.9,34.1,29.1,1989,593,Swimming 2x/week
52,Female,171.8,65.8,53.9,36.8,22.3,18.3,1521,371,Running 3x/week
28,Female,154.9,66.2,57.6,22.1,27.6,24,1825,594,HIIT 3x/week
42,Female,174.1,103.8,86.6,56.7,34.2,28.6,2092,371,Running 3x/week
28,Male,166.2,85.8,77.8,14.1,31.1,28.2,2390,639,Swimming 2x/week
25,Female,169,92.1,81.3,28.3,32.2,28.5,2226,212,Running 3x/week
51,Male,180.7,82.3,65.9,29.8,25.2,20.2,2134,435,Cycling 4x/week
44,Male,180.3,78.4,65.3,33.8,24.1,20.1,2202,502,Running 3x/week
31,Female,158,83.9,73.1,21.2,33.6,29.2,2031,507,Gym 3x/week
60,Female,156.7,60.3,52.7,20.5,24.5,21.5,1481,396,HIIT 3x/week
64,Male,185.1,84.7,71.1,32.6,24.7,20.7,1981,589,Swimming 2x/week
19,Male,182.6,81.7,71.4,30.9,24.5,21.4,2429,552,Running 3x/week
59,Female,156.6,77.4,62.4,23,31.6,25.5,1512,446,Cycling 4x/week
29,Female,154.2,73.1,60.7,29,30.7,25.5,1667,218,Running 3x/week
50,Female,171.4,82.7,72.8,32,28.2,24.8,1665,647,Swimming 2x/week
35,Male,175.5,74.7,69.4,11.1,24.3,22.5,2009,623,Running 3x/week
34,Female,159.8,65.4,58.8,19.7,25.6,23,1642,179,Swimming 2x/week
41,Male,183.7,104.6,87.1,37.4,31,25.8,2687,372,Gym 3x/week
37,Female,163.8,79,69.9,30.4,29.4,26.1,1719,397,Swimming 2x/week
41,Male,177.8,98.9,85.2,30.1,31.3,27,2723,387,Gym 3x/week
69,Female,172.1,83.1,69.8,22.9,28.1,23.5,1591,347,Swimming 2x/week
69,Male,183.7,80.8,72.5,22.8,23.9,21.5,2039,531,HIIT 3x/week
57,Female,173.1,92.7,83.2,23.9,30.9,27.8,1750,617,Cycling 4x/week
69,Female,164.8,79.4,68.6,21.1,29.3,25.3,1788,443,Running 3x/week
23,Female,157,67.3,55.7,38.6,27.3,22.6,1574,607,Swimming 2x/week
26,Female,174.3,101.4,82.6,40.4,33.4,27.2,2392,570,HIIT 3x/week
52,Male,180.6,105.4,88.7,45.5,32.3,27.2,2759,219,Running 3x/week
28,Male,171.7,76.7,68.3,28.1,26,23.2,2049,474,Swimming 2x/week
30,Male,174.4,91.4,78.5,31.7,30.1,25.8,2589,245,Cycling 4x/week
47,Female,159.7,80.9,67.7,31.7,31.7,26.5,1747,373,HIIT 3x/week
24,Female,165.2,86,78.3,24.6,31.5,28.7,2018,174,Gym 3x/week
47,Female,154.8,72.2,63.6,26.6,30.1,26.5,1439,574,Running 3x/week
70,Female,165.6,66.5,61.3,14.3,24.2,22.3,1577,259,Running 3x/week
47,Male,181.6,74.9,64.4,34,22.7,19.5,2126,218,Running 3x/week
38,Male,183.8,78.5,69.8,21.6,23.2,20.7,2137,548,Swimming 2x/week
29,Female,160.4,68.8,63.2,16.2,26.7,24.6,1639,487,Swimming 2x/week
35,Male,165.6,74.1,60.2,48.2,27,21.9,1866,366,Running 3x/week
32,Male,179.4,83.2,71.1,20.2,25.8,22.1,2457,519,HIIT 3x/week
70,Female,155.3,68.1,54.9,20.8,28.2,22.8,1483,455,Running 3x/week
34,Male,168.5,74.6,64.6,23.3,26.3,22.7,2236,213,Running 3x/week
36,Female,164.9,62.7,58.1,15.3,23.1,21.4,1516,428,Cycling 4x/week
33,Female,173.8,96.6,83.1,22.9,32,27.5,2193,226,Cycling 4x/week
40,Male,177.7,93.3,84.8,18.5,29.5,26.9,2399,506,Gym 3x/week
28,Female,152.8,57.9,53.5,14.8,24.8,22.9,1427,527,HIIT 3x/week
55,Female,168.4,69.5,60.1,14.8,24.5,21.2,1544,544,Cycling 4x/week
19,Male,183.6,91.8,73.8,58.6,27.2,21.9,2697,269,Swimming 2x/week
43,Female,151.1,54.1,44.2,26,23.7,19.4,1420,568,HIIT 3x/week
42,Female,159.8,68.5,64.5,12.6,26.8,25.3,1614,450,Running 3x/week
51,Female,164.6,77.6,66.4,36.6,28.6,24.5,1809,489,Gym 3x/week
64,Female,154.9,54.4,48.8,12.1,22.7,20.3,1221,393,HIIT 3x/week
33,Male,178.9,105,94.5,22.2,32.8,29.5,2850,251,Swimming 2x/week
35,Female,151.8,50.7,45.3,15.1,22,19.7,1260,304,Running 3x/week
29,Male,186.8,115.2,97.8,48.3,33,28,3212,227,Gym 3x/week
25,Male,181.7,95.5,85.7,21.9,28.9,25.9,2504,240,Running 3x/week
60,Male,166.3,89,82.3,19.9,32.2,29.8,2228,231,HIIT 3x/week
27,Male,184,84.2,75.6,25.5,24.9,22.3,2238,645,Cycling 4x/week
41,Male,169.2,80.9,73.4,15.3,28.3,25.7,2053,551,HIIT 3x/week
45,Female,152.2,61.9,51.1,26.3,26.7,22,1322,402,Cycling 4x/week
26,Female,172.5,93.7,83.8,27.7,31.5,28.1,2156,584,Running 3x/week
36,Male,170.3,71.5,66.4,14.5,24.7,22.9,2094,169,HIIT 3x/week
23,Female,153.3,78.9,74.5,7.8,33.6,31.7,1961,507,Gym 3x/week
18,Female,168.4,77.4,72.4,8.8,27.3,25.5,1830,288,HIIT 3x/week
52,Male,184.7,96.3,79.2,58.1,28.2,23.2,2652,554,Cycling 4x/week
32,Female,172.9,103.3,97.1,21,34.6,32.5,2394,519,HIIT 3x/week
59,Female,174.9,70.2,56.8,39.6,22.9,18.6,1449,527,Swimming 2x/week
63,Female,151.8,72.6,60.7,24.2,31.5,26.4,1536,646,HIIT 3x/week
20,Female,153.7,64.6,53.5,23.4,27.4,22.7,1567,504,HIIT 3x/week
27,Male,164.4,81.3,74.5,22.5,30.1,27.5,2116,554,Swimming 2x/week
64,Female,163.4,70.6,61.2,29.1,26.4,22.9,1347,416,Swimming 2x/week
38,Female,154,79.4,71.4,12.1,33.5,30.1,1659,246,Running 3x/week
61,Female,163.1,83.5,72.7,33.6,31.4,27.3,1545,402,Swimming 2x/week
58,Male,180.5,110.9,96.3,42.2,34,29.5,2788,215,Gym 3x/week
53,Female,164.6,92.5,82.1,29.6,34.2,30.3,1732,152,Swimming 2x/week
66,Female,159.7,67.9,56.2,27.2,26.6,22,1528,430,Running 3x/week
24,Female,170.1,73.5,66.9,20.9,25.4,23.1,1733,384,Gym 3x/week
19,Male,184.1,93.1,79.2,41.7,27.5,23.4,2807,639,Swimming 2x/week
54,Female,160.2,72.6,59.6,44.7,28.3,23.2,1541,373,Cycling 4x/week
64,Male,168.2,97.1,81.5,32.6,34.3,28.8,2223,244,Cycling 4x/week
27,Male,184.3,90.8,78.5,37.5,26.7,23.1,2700,302,Gym 3x/week
38,Female,163.9,71.5,60.9,30.3,26.6,22.7,1787,516,Swimming 2x/week
37,Female,169,82.3,69.8,24.8,28.8,24.4,1936,360,Swimming 2x/week
55,Female,151.4,78.5,71.1,13.6,34.3,31,1569,571,Swimming 2x/week
52,Male,179.5,87.9,80.6,12.5,27.3,25,2442,498,Gym 3x/week
57,Female,156.8,64.8,53,37.8,26.3,21.6,1274,515,Cycling 4x/week
62,Female,163.6,93.4,79.4,39.3,34.9,29.7,1808,308,HIIT 3x/week
27,Female,152.3,78.8,70.9,22.5,34,30.6,1874,157,Running 3x/week
31,Male,175.3,92,86,12.2,29.9,28,2313,379,Running 3x/week
24,Male,163.6,63.5,51.7,24.6,23.7,19.3,2012,245,Running 3x/week
62,Male,178.3,102.7,93.2,31.6,32.3,29.3,2283,311,Cycling 4x/week
41,Female,162.7,62.2,53.9,20.2,23.5,20.4,1599,248,Gym 3x/week
55,Female,157.9,74.9,70.3,9,30.1,28.2,1670,452,Gym 3x/week
57,Male,167.5,80.3,71.6,23.7,28.6,25.5,1959,508,Gym 3x/week
63,Male,166.7,78.4,64.6,40.6,28.2,23.3,2044,436,Gym 3x/week
45,Male,164.5,67.4,58,28.6,24.9,21.4,1690,423,Gym 3x/week
52,Female,158.7,86.1,76.4,26.4,34.2,30.4,1722,292,Running 3x/week
54,Male,178.7,109.6,93.1,44.3,34.3,29.1,2849,302,Cycling 4x/week
35,Male,169.4,68.9,56.6,25.7,24,19.7,2072,160,HIIT 3x/week
51,Female,155.8,60.4,48.8,33.6,24.9,20.1,1405,443,Gym 3x/week
64,Male,174.8,80.5,72.6,17.1,26.3,23.8,1891,219,Swimming 2x/week
54,Male,186.1,96.7,85.1,18.5,27.9,24.6,2376,212,Swimming 2x/week
35,Female,152.3,60.4,55.4,12.1,26.1,23.9,1416,278,Gym 3x/week
43,Male,163.6,72.8,67.5,12.6,27.2,25.2,1860,175,Gym 3x/week
36,Male,173.6,104.1,90.8,26.4,34.5,30.1,2734,453,Gym 3x/week
30,Male,167.4,87.4,76.4,17,31.2,27.3,2142,452,Cycling 4x/week
60,Female,163.8,82.6,69.3,39.3,30.8,25.8,1671,218,Running 3x/week
56,Female,168,91.6,81.5,23.8,32.5,28.9,1858,226,Swimming 2x/week
51,Female,174.4,83.7,77.4,19.6,27.5,25.5,1670,279,Running 3x/week
24,Female,155.2,70.6,61.7,15.6,29.3,25.6,1768,312,Swimming 2x/week
57,Female,169.2,93.2,78.7,48.5,32.6,27.5,1902,477,Swimming 2x/week
63,Male,183.5,84.1,74.1,25.9,25,22,2207,198,HIIT 3x/week
